source,dataset,date,time,latitude,longitude,station_id,metric,metric_name,value,unit,quality_flag
datos_madrid,air_quality_accumulated,2026-05-06,2026-05-06T12:00,,,11,8,nitrogen_dioxide,13.0,official_unit_by_magnitude,V
datos_madrid,air_quality_accumulated,2026-05-06,2026-05-06T13:00,,,11,8,nitrogen_dioxide,16.0,official_unit_by_magnitude,V
datos_madrid,air_quality_accumulated,2026-05-06,2026-05-06T14:00,,,11,8,nitrogen_dioxide,17.0,official_unit_by_magnitude,V
datos_madrid,air_quality_accumulated,2026-05-06,2026-05-06T15:00,,,11,8,nitrogen_dioxide,19.0,official_unit_by_magnitude,V
datos_madrid,air_quality_accumulated,2026-05-06,2026-05-06T16:00,,,11,8,nitrogen_dioxide,21.0,official_unit_by_magnitude,V
datos_madrid,air_quality_accumulated,2026-05-06,2026-05-06T17:00,,,11,8,nitrogen_dioxide,27.0,official_unit_by_magnitude,V
datos_madrid,air_quality_accumulated,2026-05-06,2026-05-06T18:00,,,11,8,nitrogen_dioxide,16.0,official_unit_by_magnitude,V
datos_madrid,air_quality_accumulated,2026-05-06,2026-05-06T19:00,,,11,8,nitrogen_dioxide,20.0,official_unit_by_magnitude,V
datos_madrid,air_quality_accumulated,2026-05-06,2026-05-06T20:00,,,11,8,nitrogen_dioxide,14.0,official_unit_by_magnitude,V
datos_madrid,air_quality_accumulated,2026-05-06,2026-05-06T21:00,,,11,8,nitrogen_dioxide,38.0,official_unit_by_magnitude,V
datos_madrid,air_quality_accumulated,2026-05-06,2026-05-06T22:00,,,11,8,nitrogen_dioxide,54.0,official_unit_by_magnitude,V
datos_madrid,air_quality_accumulated,2026-05-06,2026-05-06T23:00,,,11,8,nitrogen_dioxide,67.0,official_unit_by_magnitude,V
datos_madrid,air_quality_accumulated,2026-05-06,2026-05-06T00:00,,,16,12,nitrogen_oxides,17.0,official_unit_by_magnitude,V
datos_madrid,air_quality_accumulated,2026-05-06,2026-05-06T01:00,,,16,12,nitrogen_oxides,8.0,official_unit_by_magnitude,V
datos_madrid,air_quality_accumulated,2026-05-06,2026-05-06T02:00,,,16,12,nitrogen_oxides,9.0,official_unit_by_magnitude,V
datos_madrid,air_quality_accumulated,2026-05-06,2026-05-06T03:00,,,16,12,nitrogen_oxides,9.0,official_unit_by_magnitude,V
datos_madrid,air_quality_accumulated,2026-05-06,2026-05-06T04:00,,,16,12,nitrogen_oxides,12.0,official_unit_by_magnitude,V
datos_madrid,air_quality_accumulated,2026-05-06,2026-05-06T05:00,,,16,12,nitrogen_oxides,15.0,official_unit_by_magnitude,V
